,date,sentiment_score,weighted_sentiment,total_likes,tweet_count
103,2012-07-31,0.6375333333333334,20506.5026,29370.0,3
104,2012-08-01,0.3475166666666667,5260.103,7447.0,6
105,2012-08-03,0.5297999999999999,102.2268,187.0,3
106,2012-08-04,0.3506,4.9084,14.0,1
107,2012-08-13,-0.6908,-17.27,25.0,1
108,2012-08-22,0.8043,359.337,444.0,2
109,2012-08-25,0.6486,146.5836,226.0,1
110,2012-08-27,0.21046666666666666,7.556699999999999,123.0,3
111,2012-08-29,0.5737,49.2465,147.0,2
112,2012-09-06,0.0,0.0,63.0,1
113,2012-09-13,0.5859,148.8186,254.0,1
114,2012-09-14,0.2263,414.129,1830.0,1
115,2012-09-17,0.5697,94.5702,166.0,1
116,2012-09-19,0.0,0.0,27.0,1
117,2012-09-22,0.0,0.0,87.0,1
118,2012-09-24,0.1604,10.2656,64.0,1
119,2012-09-25,0.6369,151.5822,238.0,1
120,2012-09-30,-0.0276,-8.4456,306.0,1
121,2012-10-01,-0.064,-6.016,100.0,2
122,2012-10-02,0.0,0.0,152.0,1
123,2012-10-03,-0.0772,-4.091600000000001,53.0,1
124,2012-10-04,0.0,0.0,97.0,1
125,2012-10-07,0.0,0.0,63.0,1
126,2012-10-08,0.0,0.0,164.0,1
127,2012-10-11,0.0,0.0,286.0,1
128,2012-10-22,0.0,0.0,63.0,1
129,2012-10-28,0.39296,1010.2373,57143.0,5
130,2012-11-03,0.0,0.0,134.0,2
131,2012-11-06,0.4926,35.9598,73.0,1
132,2012-11-07,0.0,0.0,151.0,1
133,2012-11-12,0.6249,54.3663,87.0,1
134,2012-11-13,0.6696,29.4624,44.0,1
135,2012-11-16,0.48895,35.569199999999995,71.0,2
136,2012-11-19,0.6989,198.4876,284.0,1
137,2012-11-20,-0.24486,-103.2223,261.0,5
138,2012-11-21,0.38585,321.7989,436.0,2
139,2012-11-22,0.366,42.0684,137.0,2
140,2012-11-23,0.38915,99.6224,293.0,2
141,2012-11-24,0.0,0.0,42.0,1
142,2012-11-25,0.0,0.0,132.0,1
143,2012-11-27,0.1022,65.0363,476.0,3
